ano_criacao_processo;numero_processo_formatado;situacao_item_processo;codigo_elemento_item_despesa;nome_elemento_item_despesa;codigo_item_material_servico_formatado;item_material_servico;unnamed_7;unnamed_8;unnamed_9;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0500005 000001/2026;Homologado/Ratificado;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;00003482-7;CONEXAO DE ALTA DISPONIBILIDADE A INTERNET -;;;;1;3885,0;46620,0
2026;0500005 000001/2026;Homologado/Ratificado;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;00003675-7;INTEGRACAO A REDE GOVERNO;;;;1;164,0;1968,0
2026;0500005 000001/2026;Homologado/Ratificado;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;00008303-8;GERENCIAMENTO DE NIVEL DE SERVICOS DA REDE IP MULTISSERVICOS;;;;1;70,0;840,0
2026;0500005 000001/2026;Homologado/Ratificado;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;00010006-4;ASSOCIACAO DE ENDERECO IP A TERMINAL -;;;;1;49,0;529200,0
2026;0500005 000001/2026;Homologado/Ratificado;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;00014742-7;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;9;561,333333333333;730008,0
2026;0500005 000002/2026;Homologado/Ratificado;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;00005596-4;DESINSTALACAO, DESMONTAGEM E TRANSPORTE DE EQUIPAMENTO MEDI CO;;;;1;23050,0;23050,0
2026;0500005 000003/2026;Homologado/Ratificado;3924;CURSOS, EXPOSICOES, CONGRESSOS E CONFERENCIAS;00002300-0;DESPESA REFERENTE A INSCRICAO DE SERVIDOR OU CIDADAO PARA PARTICIPAR DE CONGRESSO;;;;1;3965,6;23793,6
2026;0501044 000002/2026;Homologado/Ratificado;3013;MATERIAIS DE LABORATORIO E PRODUTOS QUIMICOS EM GERAL;00050347-9;"TERMOMETRO - ESCALA: -10 A +50 GRAUS CELSIUS, DIVISAO DE 0,1ºC; GRAU DE PRECISAO: -; APLICACAO: SISTEMA DE REFRIGERACAO; TIPO: DIGITAL, COM CABO EXTENSOR DE APROX. 3 METROS; FIXACAO: RESETE INDIVIDUAL, COM FIXADOR;";;;;1;64,995;974,92
2026;0501044 000002/2026;Homologado/Ratificado;3030;MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM;00192411-7;"CAIXA TERMICA - MATERIA-PRIMA: POLIESTIRENO (INTERNO) E POLIETILENO (EXTERNO); TIPO: COM TAMPA BASCULANTE REMOVIVEL OU FIXA COM ALCA; TIPO 1: COM TRAVA DE SEGURANCA; CAPACIDADE: 5 LITROS;";;;;1;170,5;12787,5
2026;0501044 000002/2026;Homologado/Ratificado;3030;MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM;00193917-3;"CAIXA TERMICA - MATERIA-PRIMA: POLIESTIRENO (INTERNO) E POLIETILENO (EXTERNO); TIPO: COM TAMPA BASCULANTE REMOVIVEL OU FIXA COM ALCA; TIPO 1: COM TRAVA DE SEGURANCA; CAPACIDADE: MEDIDAS APROXIMADAS: 39 X 31 X 42 (CM) (A X L X C);";;;;1;274,5625;274,56
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00006902-7;"SONDA DE USO MEDICO - IDENTIFICACAO: DE ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 6; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;1;0,68;544,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00006907-8;"SONDA DE USO MEDICO - IDENTIFICACAO: ASPIRACAO TRAQUEAL; NUMERO/TAMANHO: COM VALVULA N.10; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;1;0,85;238,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00006908-6;"SONDA DE USO MEDICO - IDENTIFICACAO: DE ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 12; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;1;0,69;5796,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00006909-4;"SONDA DE USO MEDICO - IDENTIFICACAO: ASPIRACAO TRAQUEAL COM VALVULA; NUMERO/TAMANHO: 14; MATERIA-PRIMA: POLIVINIL TRANSPARENTE;";;;;1;0,65;5200,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00022887-7;"SONDA DE USO MEDICO - IDENTIFICACAO: URETRAL; NUMERO: 10; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;1;0,46;97,98
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00022888-5;"SONDA DE USO MEDICO - IDENTIFICACAO: URETRAL; NUMERO/TAMANHO: 12; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;1;0,49;632,1
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023060-0;"SONDA DE USO MEDICO - IDENTIFICACAO: DE FOLEY 2 VIAS; NUMERO/TAMANHO: 10 E CAPACIDADE BALAO IMPRESSOS EM LOCAL VISIVEL; MATERIA-PRIMA: BORRACHA NATURAL, SILICONIZADA;";;;;1;3,15;31,5
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023062-6;"SONDA DE USO MEDICO - IDENTIFICACAO: DE FOLEY 2 VIAS; NUMERO/TAMANHO: 14; MATERIA-PRIMA: BORRACHA NATURAL, SILICONIZADA;";;;;1;2,76;193,2
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023064-2;"SONDA DE USO MEDICO - IDENTIFICACAO: DE FOLEY 2 VIAS; NUMERO/TAMANHO: 18; MATERIA-PRIMA: BORRACHA NATURAL, SILICONIZADA;";;;;1;2,76;938,4
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023103-7;"SONDA DE USO MEDICO - IDENTIFICACAO: NASOGASTRICA LONGA; NUMERO/TAMANHO: 16; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;1;1,03;30,9
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023108-8;"SONDA DE USO MEDICO - IDENTIFICACAO: NASOGASTRICA LONGA; NUMERO/TAMANHO: 20; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;1;1,09;87,2
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023109-6;"SONDA DE USO MEDICO - IDENTIFICACAO: NASOGASTRICA LONGA; NUMERO/TAMANHO: 22; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;1;1,45;72,5
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023157-6;"SONDA DE USO MEDICO - IDENTIFICACAO: URETRAL; NUMERO: 4; MATERIA-PRIMA: POLIVINIL ATOXICO;";;;;1;0,85;17,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00049201-9;"TALA PARA IMOBILIZACAO - MATERIA-PRIMA: METALICA, CHAPA FLEXIVEL, REVESTIDA EM ESPUMA; MEDIDAS: MEDINDO 20 X 2CM; FINALIDADE: IMOBILIZACAO DE DEDO;";;;;1;1,72;208,12
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00058375-8;"SERINGA DESCARTAVEL - MATERIA-PRIMA: PROLIPROPILENO; CAPACIDADE: 05 ML SEM AGULHA;";;;;1;0,118;3363,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00080449-5;"SISTEMA FECHADO DE ASPIRACAO TRAQUEAL - TIPO: CALIBRE 14 FR , COM VIA DE IRRIGACAO -;";;;;1;45,0;1800,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00092425-3;"SONDA DE USO MEDICO - IDENTIFICACAO: NASOENTERICA INFANTIL; NUMERO: 6G; MATERIA-PRIMA: POLIURETANO, COM PESO EM TUNGSTENIO OU ACO INOX;";;;;1;11,5;115,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00102430-2;"SERINGA DESCARTAVEL - MATERIA-PRIMA: POLIPROPILENO; CAPACIDADE: 50 A 60 ML;";;;;1;12,0;600,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00138492-9;"SERINGA DESCARTAVEL - MATERIA-PRIMA: POLIPROPILENO; CAPACIDADE: 20 ML, SEM AGULHA, BICO LATERAL E PONTA LUER SLIP;";;;;1;0,26;15340,0
2026;0501044 000005/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00163512-3;"TAMPA PARA SISTEMA INTRAVENOSO - APLICACAO: CONEXAO MACHO E FEMEA; FINALIDADE: FECHAMENTO DE SISTEMA INTRAVENOSO; TIPO: PARA CONEXAO LUER LOCK MACHO / SLIP FEMEA; MEDIDAS: PADRAO;";;;;1;0,25;2025,0
2026;0501044 000006/2026;Homologado/Ratificado;3014;MATERIAL RADIOLOGICO;00030550-2;"FILME RADIOLOGICO PARA PROCESSAMENTO A SECO - IDENTIFICACAO: PARA TOMOGRAFIA PARA IMPRESSORA A SECO (DRY); TAMANHO: 35 X 43CM;";;;;1;7,5;90000,0
2026;0501044 000006/2026;Homologado/Ratificado;3017;ARTIGOS PARA LIMPEZA E HIGIENE;00132525-6;"DETERGENTE NEUTRO - APLICACAO: ASSISTENCIA A SAUDE; TIPO: CONCENTRADO; ASPECTO FISICO: LIQUIDO VISCOSO, TRANSPARENTE A LIGEIR. AMARELADO; DILUICAO: 1:25 A 1:50; PH: 6,00 A 9,00; DENSIDADE: 0,900 A 1,100 (G/CM³);";;;;1;4,32;5184,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00000195-3;"COMADRE EM PLASTICO USO HOSPITALAR - CAPACIDADE: MINIMA DE 2 LITROS; MODELO: COM ALCA;";;;;1;18,97;4363,1
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00005877-7;"ETIQUETA ADESIVA USO HOSPITALAR - MATERIA-PRIMA: PAPEL FOSCO; TAMANHO: APROXIMADO DE 5,5 X 2,5CM; DIZERES: DATA, HORA, ASSINATURA E O DIA DA SEMANA; COR: UMA PARA CADA DIA DA SEMANA CONFORME COMPLEMENTO;";;;;1;0,05;403,2
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00008047-0;"ATADURA DE ALGODAO ORTOPEDICO - MEDIDAS: 10 CM X 1,80 M;";;;;1;0,5408;506,18
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00008049-7;"ATADURA DE ALGODAO ORTOPEDICO - MEDIDAS: 15 CM X 1,80 M;";;;;1;0,8167;1019,24
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00008050-0;"ATADURA DE ALGODAO ORTOPEDICO - MEDIDAS: 20 CM X 1,80 M;";;;;1;1,1273;1582,72
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00015125-4;"BOLSA VENTILATORIA  - CAPACIDADE VOLUMETRICA: 3 L; SEIS GOMOS; MATERIA-PRIMA: LATEX NATURAL, NA COR AZUL;";;;;1;26,14;522,8
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00015141-6;"CANULA DE GUEDEL - NUMERO: 4;";;;;1;1,74;6,96
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00015171-8;"CANULA DESCARTAVEL PARA TRAQUEOSTOMIA - TIPO: COM BALONETE; NUMERO: 7,5; MATERIA-PRIMA: PVC ATOXICO, SILICONIZADO, RADIOPACO; CARACTERISTICA ESPECIAL: NAO APLICAVEL; DIAMETRO INTERNO: 7,5 MM; DIAMETRO EXTERNO: 11,3 MM, APROXIMADAMENTE; COMPRIMENTO TOTAL: 73 MM, APROXIMADAMENTE; DIAMETRO CONEXAO: 15 MM; COMPONENTES (1): MANDRIL DE ENTUBACAO; COMPONENTES (2): PLACA FIXACAO C/ IDENTIF. DIAMETROS INT. E EXTERNO; COMPONENTES (3): FITA DE FIXACAO;";;;;1;12,7;381,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00015560-8;"EXTENSOR DESCARTAVEL DE EQUIPO MEDICO CIRURGICO - COMPONENTES: PINCA CORTA FLUXO; COMPRIMENTO: 60 CM; MATERIA-PRIMA: PVC TRANSPARENTE;";;;;1;1,82;3276,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00022876-1;"COMPRESSA TIPO CAMPO OPERATORIO - MATERIA-PRIMA: 100% ALGODAO COM FILAMENTO RADIOPACO; CAMADAS: 4 CAMADAS SOBREPOSTAS; ESTERIL: SIM; DIMENSOES (L X C ): MINIMA DE 25 CM X 28 CM, EM REPOUSO; PESO: 20 G POR UNIDADE; BORDAS: COSTURADAS COM CADARCO NO MINIMO 18 CM; APRESENTACAO: PACOTE 5 UN;";;;;1;5,6662;63574,76
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00023218-1;"FRASCO COLETOR DE SECRECOES - TIPO: DESCARTAVEL; APLICACAO: BRONCOSPIA E ENDOSCOPIA; CAPACIDADE: 70 ML; MATERIA-PRIMA: PVC CRISTAL;";;;;1;4,07;2421,65
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00026458-0;"CANULA DE GUEDEL - NUMERO: 3;";;;;1;1,79;7,16
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00028407-6;"FRASCO COLETOR DE SECRECOES - TIPO: DESCARTAVEL; APLICACAO: ASPIRACAO DAS VIAS AEREAS; CAPACIDADE: 500 ML; MATERIA-PRIMA: PVC RIGIDO;";;;;1;13,07;5162,65
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00030606-1;"CAMPO CIRURGICO - MATERIA-PRIMA: NAO TECIDO, SMS PLASTIFICADO; DESCARTAVEL; 60G/M2; TAMANHO: 1,10M X 2,30M;";;;;1;9,2155;6708,88
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00030968-0;"CONJUNTO DE DRENAGEM - TIPO: EXTERNA; APLICACAO: VENTRICULAR, INFANTIL;";;;;1;725,0;725,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00031916-3;"HEMOSTATICO DE GELATINA, ABSORVIVEL - IDENTIFICACAO: ESPONJA DE 7 X 5 CM; APLICACAO: ABSORCAO DE SANGUE E CONTENCAO DE HEMORRAGIAS;";;;;1;62,89;3773,4
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00038222-1;"TORNEIRA CIRURGICA - NUMERO DE VIAS: 3; VALVULA: SEM VALVULA; EXTREMIDADE: MACHO LUER LOCK REVERSIVEL E LOCK; ESTERIL: SIM; MATERIA-PRIMA: PLASTICO TRANSPARENTE; CARACTERISTICAS GERAIS: ORIENTADOR DE FLUXO COLORIDO, COM SETAS VISIVEIS;";;;;1;0,57;1710,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00042135-9;"CANULA DESCARTAVEL PARA TRAQUEOSTOMIA - TIPO: COM BALONETE; NUMERO: 7,0; MATERIA-PRIMA: PVC ATOXICO, SILICONIZADO, RADIOPACO; CARACTERISTICA ESPECIAL: NAO APLICAVEL; DIAMETRO INTERNO: 7,0 MM; DIAMETRO EXTERNO: 10,5 MM, APROXIMADAMENTE; COMPRIMENTO TOTAL: 70 MM, APROXIMADAMENTE; DIAMETRO CONEXAO: 15 MM; COMPONENTES (1): MANDRIL DE ENTUBACAO; COMPONENTES (2): PLACA FIXACAO C/ IDENTIF. DIAMETROS INT. E EXTERNO; COMPONENTES (3): FITA DE FIXACAO;";;;;1;12,8;128,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00042136-7;"CANULA DESCARTAVEL PARA TRAQUEOSTOMIA - TIPO: COM BALONETE; NUMERO: 8,0; MATERIA-PRIMA: PVC ATOXICO, SILICONIZADO, RADIOPACO; CARACTERISTICA ESPECIAL: NAO APLICAVEL; DIAMETRO INTERNO: 8,0 MM; DIAMETRO EXTERNO: 11,9 MM, APROXIMADAMENTE; COMPRIMENTO TOTAL: 75,5 MM, APROXIMADAMENTE; DIAMETRO CONEXAO: 15 MM; COMPONENTES (1): MANDRIL DE ENTUBACAO; COMPONENTES (2): PLACA FIXACAO C/ IDENTIF. DIAMETROS INT. E EXTERNO; COMPONENTES (3): FITA DE FIXACAO;";;;;1;12,7;508,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00051655-4;"FITA CIRURGICA - TIPO: MICROPOROSA; MEDIDAS: 50MM X 10M;";;;;1;3,42;3693,6
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00065864-2;"COLCHAO DE USO HOSPITALAR - MODELO: CAIXA DE OVO; ADULTO; DENSIDADE: D28; MATERIA-PRIMA: ESPUMA; REVESTIMENTO: SEM REVESTIMENTO; TRATAMENTO: NAO APLICAVEL; DIMENSOES: 190 CM X 0,80 CM; ALTURA: 6 CM (ESPESSURA);";;;;1;42,0;5922,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00076489-2;"AGULHA PARA ESTIMULADOR DE NERVO PERIFERICO - MEDIDAS: 22 G (0,70 X 50 MM); TIPO: DESCARTAVEL; BISEL: ULTRA-CURTO; CANHAO: ANATOMICO, TRANSPARENTE;";;;;1;66,6812;13336,24
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00079164-4;"CONJUNTO PARA DRENAGEM MEDIASTINAL - NUMERO: 32; CAPACIDADE: DO FRASCO RESERVATORIO 2.000 ML;";;;;1;31,6;695,2
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00080384-7;"CONJUNTO PARA DRENAGEM MEDIASTINAL - NUMERO: 26; CAPACIDADE: DO FRASCO RESERVATORIO 1.000 ML;";;;;1;27,0;108,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00080387-1;"CONJUNTO PARA DRENAGEM MEDIASTINAL - NUMERO: 30; CAPACIDADE: DO FRASCO RESERVATORIO 2.000 ML;";;;;1;32,13;257,04
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00080400-2;"ELETRODO PARA ECG - MATERIA-PRIMA: ESPUMA; TAMANHO: ADULTO ;";;;;1;0,2198;21980,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00080401-0;"ELETRODO PARA ECG - MATERIA-PRIMA: ESPUMA ; TAMANHO: NEONATAL;";;;;1;0,25;25,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00081057-6;"GAZE HIDROFILA - MATERIA-PRIMA: 100% ALGODAO; ESTERIL: SIM; DIMENSOES (L X C ): 91 CM X 60 CM ABERTA; NUMERO DE FIOS: 13 FIOS/CM2; DOBRAS: MINIMO 3; CAMADAS: 8; APRESENTACAO: PACOTE 1 UN;";;;;1;1,18;55460,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00089481-8;"COLETE - IDENTIFICACAO: PUTTI, TAMANHO PEQUENO, ALTO; MATERIA-PRIMA: ELASTICO DE ALTA RESISTENCIA; FINALIDADE: ESTABILIZACAO DA REGIAO DORSO-LOMBOSSACRAL;";;;;1;135,0;405,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00122926-5;"COLETOR DE MATERIAL PERFUROCORTANTE - CAPACIDADE VOLUMETRICA: 13 LITROS; REVESTIMENTO: CONFECCIONADO EM PAPELAO RIGIDO; FUNCAO: PARA DESCARTE DE MATERIAL PERFURO CORTANTE; TAMPA: COM PROTECAO CONTRA VAZAMENTOS; SEGURANCA: RESISTENTE A QUEDA E TOMBAMENTO;";;;;1;65,4;13080,0
2026;0501044 000008/2026;Homologado/Ratificado;3010;MATERIAL MEDICO E HOSPITALAR;00122934-6;"COMPRESSA PARA LIMPEZA DE MATERIAL MEDICO - MATERIA-PRIMA: EM TECIDO ABSORVENTE, 100% ALGODAO; TIPO: NAO ESTERIL, SEM FILAMENTO RADIOPACO; PESO: PESANDO APROXIMADAMENTE 25 GRAMAS; DIMENSOES: MEDINDO APROXIMADAMENTE 45 X 50 CM;";;;;1;1,348;49037,54
