ano_criacao_processo;numero_processo_formatado;numero_contrato;descricao_tipo_de_contrato;procedimento_contratacao_detalhamento_1;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;numero_parecer_juridico
2026;0500005 000001/2026;9493178;Serviço;Dispensa de Licitação;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=208437;42,0
2026;0500005 000002/2026;0;;Dispensa de Licitação - Por valor;;;
2026;0500005 000003/2026;0;;Inexigibilidade;;;86,0
2026;0501044 000002/2026;0;;Dispensa de Licitação - Por valor;;;
2026;0501044 000005/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000006/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000008/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000009/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000010/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000013/2026;0;;Dispensa de Licitação - Por valor;;;
2026;0501044 000014/2026;0;;Inexigibilidade;;;188,0
2026;0501044 000015/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000016/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000017/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000019/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000020/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000022/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000024/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000025/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000026/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000027/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000028/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000029/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000030/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000031/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000034/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000035/2026;0;;Registro de preços realizado no SIRP;;;
2026;0501044 000037/2026;0;;Registro de preços realizado no SIRP;;;
2026;0502019 000001/2026;0;;Registro de preços realizado no SIRP;;;
2026;0502019 000002/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000001/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000002/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000003/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000004/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000005/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000006/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000007/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000009/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000010/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000011/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000013/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000015/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000016/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000017/2026;0;;Registro de preços realizado no SIRP;;;
2026;0503007 000018/2026;0;;Registro de preços realizado no SIRP;;;
2026;0508022 000001/2026;0;;Registro de preços realizado no SIRP;;;
2026;0508022 000002/2026;0;;Registro de preços realizado no SIRP;;;
2026;0508022 000003/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000001/2026;0;;Dispensa de Licitação - Por valor;;;
2026;0509025 000002/2026;0;;Dispensa de Licitação - Por valor;;;
2026;0509025 000003/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000004/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000005/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000006/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000007/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000009/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000010/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000011/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000012/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000013/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000014/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000015/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000016/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000017/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000018/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000019/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000020/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000021/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000022/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000023/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000024/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000025/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000026/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000027/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000028/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000029/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000030/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000031/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000032/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000033/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000034/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000035/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000036/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000037/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000038/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000039/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000040/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000041/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000043/2026;9496593;Serviço;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=656355;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=211477;
2026;0509025 000045/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000046/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000047/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000048/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000049/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000050/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000051/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000052/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000053/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000054/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000055/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000056/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000058/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000059/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000060/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000061/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000062/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000063/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000065/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000066/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000067/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000068/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000069/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000070/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000071/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000072/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000073/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000074/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000075/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000076/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000077/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000078/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000079/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000081/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000082/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000083/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000084/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000085/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000086/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000087/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000088/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000089/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000090/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000091/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000092/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000093/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000094/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000095/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000096/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000097/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000100/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000101/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000102/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000103/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000104/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000105/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000106/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000107/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000108/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000109/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000110/2026;0;;Registro de preços realizado no SIRP;;;
2026;0509025 000111/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000002/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000004/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000005/2026;9497037;Serviço e Fornecimento;Inexigibilidade;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=212177;49,0
2026;0510037 000007/2026;0;;Inexigibilidade;;;58,0
2026;0510037 000010/2026;9494563;Fornecimento;Inexigibilidade;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=210438;69,0
2026;0510037 000011/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000012/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000013/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000014/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000015/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000016/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000017/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000018/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000019/2026;0;;Dispensa de Licitação - Por valor;;;
2026;0510037 000020/2026;0;;Inexigibilidade;;;83,0
2026;0510037 000021/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000022/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000024/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000025/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000026/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000027/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000028/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000029/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000030/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000031/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000032/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000033/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000034/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000035/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000036/2026;0;;Registro de preços realizado no SIRP;;;
2026;0510037 000037/2026;0;;Registro de preços realizado no SIRP;;;
